weight-range,year-range,name,model-year,mpg,weight,percent-weight-front,length,width,height,cylinders,eng-displacement,trans,trans-speed
1500-2000,1988-1992,Chevrolet Sprint,1988,47,1562,59,144.49,60.24,53.15,3,1,0,5
2000-2500,1988-1992,Chevrolet Sprint,1989,39,1562,59,144.49,60.24,53.15,3,1,0,5
1500-2000,1993-1997,Suzuki Swift,1993,40,1648,60,147.64,62.2,53.15,3,1,0,5
1500-2000,2009-2015,Smart Fortwo Brabus,2012,35,1653,43,106.3,61.42,60.63,3,1,0,5
2000-2500,1988-1992,Suzuki Swift,1989,40,1661,59,146.06,62.2,53.15,3,1,0,5
1500-2000,1988-1992,Pontiac Firefly,1990,33,1690,58,150,62.2,53.54,2,1,1,3
1500-2000,1988-1992,Ford Festiva,1989,35,1709,63,140.55,63.39,55.12,4,1.3,0,5
1500-2000,1988-1992,Ford Festiva L/LX 2DR,1990,33,1709,64,140.55,63.39,55.12,4,1.3,0,5
1500-2000,2009-2015,Smart Fortwo Passion,2012,35,1741,43,106.3,61.42,60.63,3,1,0,5
1500-2000,1998-2002,Pontiac Firefly 2DR HB,1998,40,1789,61,149.61,62.6,54.72,4,1.3,0,5
1500-2000,1988-1992,Subaru Justy,1991,30,1802,62,145.28,60.24,53.54,3,1.2,0,5
1500-2000,1988-1992,Subaru Justy DL/GL/GL Hatchback,1990,30,1802,62,145.28,60.24,53.54,3,1.2,0,5
1500-2000,1988-1992,Subaru Justy,1992,30,1802,62,145.28,60.24,53.54,3,1.2,0,5
1500-2000,2003-2008,Smart Fortwo Coupe,2008,36,1804,43,106.3,61.42,60.63,3,1,1,5
1500-2000,2009-2015,Smart ForTwo Coupe,2009,36,1804,43,106.3,61.42,60.63,3,1,1,5
1500-2000,2009-2015,Smart Fortwo Pure,2011,35,1807,43,106.3,61.42,60.63,3,1,0,5
1500-2000,2009-2015,Mercedes-Benz Smart Fortwo,2013,36,1808,45,106.1,61.4,60.7,3,1,1,5
1500-2000,2009-2015,Smart Fortwo,2010,36,1851.88,43,106.3,61.42,60.63,3,0.8,1,6
1500-2000,2009-2015,Smart ForTwo Passion,2010,33,1852,43,106.3,61.42,60.63,3,1,1,5
1500-2000,1988-1992,Suzuki Swift GT 3DR Hatchback,1992,27,1859,58,146.06,62.6,53.15,4,1.3,0,5
